sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
金門,3.11,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 13:00"
橋頭,2,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-24 13:00"
基隆,4.63,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-24 13:00"
宜蘭,7.45,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-24 13:00"
塔塔加,4.2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 13:00"
澎湖,6.24,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-24 13:00"
恆春,6.75,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 13:00"
臺中,5.20,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-24 13:00"
蘭嶼,0.60,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 13:00"
臺東,5.41,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 13:00"
日月潭,2.78,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 13:00"
馬祖,1.64,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-24 13:00"
高雄,4.06,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-24 13:00"
鞍部,1.80,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-24 13:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-24 13:00"
新屋,2.84,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-24 13:00"
朴子,2,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 13:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-24 13:00"
斗六,7,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 13:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 13:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-24 13:00"
臺南,1.51,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-24 13:00"
桃園,2,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 13:00"
南投,5,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-24 13:00"
彰化,7,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-24 13:00"
新竹,2.10,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 13:00"
苗栗,3,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-24 13:00"
新營,1,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-24 13:00"
成功,1.70,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-24 12:00"
桃園,3,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-24 12:00"
板橋,2,環境保護署,新北市,"121,27,31","25,0,47","2022-05-24 12:00"
恆春,6.82,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-24 12:00"
金門,4.45,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-24 12:00"
阿里山,2,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-24 12:00"
斗六,5,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-24 12:00"
花蓮,3.31,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-24 12:00"
日月潭,2.59,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-24 12:00"
塔塔加,3.4,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-24 12:00"
蘭嶼,0.92,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-24 12:00"
朴子,4,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-24 12:00"
嘉義,3.23,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-24 12:00"
新竹,3.01,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-24 12:00"
臺東,9.37,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-24 12:00"
