sitename,uvi,publishagency,county,wgs84lon,wgs84lat,publishtime
阿里山,3,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 14:00"
新營,7,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 14:00"
南投,1,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 14:00"
彰化,6,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 14:00"
新竹,1.60,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 14:00"
高雄,4.31,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 14:00"
苗栗,1,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 14:00"
宜蘭,4.48,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 14:00"
澎湖,7.26,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 14:00"
新屋,1.16,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 14:00"
臺中,6.67,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 14:00"
臺東,8.56,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 14:00"
蘭嶼,2.56,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 14:00"
馬祖,3.84,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 14:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 14:00"
成功,9.67,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 14:00"
嘉義,6.63,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 14:00"
鞍部,0.97,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 14:00"
恆春,5.89,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 14:00"
淡水,1,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 14:00"
臺北,1.78,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 14:00"
基隆,1.08,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 14:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 14:00"
塔塔加,3,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 14:00"
花蓮,7.06,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 14:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 14:00"
板橋,1,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 14:00"
塔塔加,3.5,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 13:00"
南投,2,環境保護署,南投縣,"120,41,7","23,54,47","2022-05-23 13:00"
斗六,5,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 13:00"
朴子,6,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 13:00"
彰化,9,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 13:00"
新營,6,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 13:00"
沙鹿,5,環境保護署,臺中市,"120,34,8","24,13,32","2022-05-23 13:00"
橋頭,3,環境保護署,高雄市,"120,18,20","22,45,27","2022-05-23 13:00"
阿里山,5,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 13:00"
屏東,3,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 13:00"
苗栗,2,環境保護署,苗栗縣,"120,49,13","24,33,55","2022-05-23 13:00"
鞍部,1.45,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 13:00"
新竹,2.70,中央氣象局,新竹縣,"121,00,51","24,49,40","2022-05-23 13:00"
臺南,-999,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 13:00"
基隆,2.68,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 13:00"
玉山,9.06,中央氣象局,南投縣,"120,57,34","23,29,15","2022-05-23 13:00"
澎湖,7.61,中央氣象局,澎湖縣,"119,33,47","23,33,56","2022-05-23 13:00"
蘭嶼,2.93,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 13:00"
嘉義,5.24,中央氣象局,嘉義市,"120,25,58","23,29,45","2022-05-23 13:00"
新屋,2.16,中央氣象局,桃園市,"121,02,51","25,00,24","2022-05-23 13:00"
高雄,3.28,中央氣象局,高雄市,"120,18,45","22,43,50","2022-05-23 13:00"
臺東,14.03,中央氣象局,臺東縣,"121,09,17","22,45,08","2022-05-23 13:00"
花蓮,5.93,中央氣象局,花蓮縣,"121,36,48","23,58,30","2022-05-23 13:00"
日月潭,3.71,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 13:00"
臺北,4.37,中央氣象局,臺北市,"121,30,53","25,02,16","2022-05-23 13:00"
馬祖,2.89,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 13:00"
恆春,6.96,中央氣象局,屏東縣,"120,44,47","22,00,14","2022-05-23 13:00"
臺中,8.66,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 13:00"
金門,4.98,中央氣象局,金門縣,"118,17,21","24,24,26","2022-05-23 13:00"
宜蘭,8.70,中央氣象局,宜蘭縣,"121,45,24","24,45,50","2022-05-23 13:00"
板橋,3,環境保護署,新北市,"121,27,31","25,0,47","2022-05-23 13:00"
淡水,2,環境保護署,新北市,"121,26,57","25,9,52","2022-05-23 13:00"
成功,11.84,中央氣象局,臺東縣,"121,22,24","23,05,51","2022-05-23 13:00"
桃園,1,環境保護署,桃園市,"121,18,31","24,59,12","2022-05-23 13:00"
臺中,5.19,中央氣象局,臺中市,"120,41,03","24,08,45","2022-05-23 12:00"
彰化,6,環境保護署,彰化縣,"120,32,29","24,3,58","2022-05-23 12:00"
馬祖,3.07,中央氣象局,連江縣,"119,55,24","26,10,09","2022-05-23 12:00"
阿里山,5,環境保護署,嘉義縣,"120,48,5","23,30,31","2022-05-23 12:00"
屏東,9,環境保護署,屏東縣,"120,29,17","22,40,23","2022-05-23 12:00"
塔塔加,3.2,環境保護署,嘉義縣,"120,52,50","23,28,14","2022-05-23 12:00"
斗六,8,環境保護署,雲林縣,"120,32,42","23,42,43","2022-05-23 12:00"
朴子,7,環境保護署,嘉義縣,"120,14,52","23,28,2","2022-05-23 12:00"
鞍部,2.09,中央氣象局,臺北市,"121,31,47","25,10,57","2022-05-23 12:00"
蘭嶼,3.95,中央氣象局,臺東縣,"121,33,30","22,02,13","2022-05-23 12:00"
新營,7,環境保護署,臺南市,"120,19,2","23,18,20","2022-05-23 12:00"
臺南,10.36,中央氣象局,臺南市,"120,12,17","22,59,36","2022-05-23 12:00"
日月潭,5.25,中央氣象局,南投縣,"120,54,29","23,52,53","2022-05-23 12:00"
基隆,4.75,中央氣象局,基隆市,"121,44,26","25,07,60","2022-05-23 12:00"
