"","county","date","cases"
"646","台南市",2021-06-23,48
"647","宜蘭縣",2021-06-23,96
"648","屏東縣",2021-06-23,40
"649","彰化縣",2021-06-23,261
"650","新北市",2021-06-23,6359
"651","新竹縣",2021-06-23,95
"652","桃園市",2021-06-23,682
"653","苗栗縣",2021-06-23,542
"654","南投縣",2021-06-24,37
"655","高雄市",2021-06-24,83
"656","台中市",2021-06-24,198
"657","台北市",2021-06-24,4396
"658","基隆市",2021-06-24,300
"659","屏東縣",2021-06-24,43
"660","新北市",2021-06-24,6396
"661","新竹縣",2021-06-24,98
"662","桃園市",2021-06-24,684
"663","南投縣",2021-06-25,38
"664","高雄市",2021-06-25,85
"665","台北市",2021-06-25,4422
"666","基隆市",2021-06-25,302
"667","屏東縣",2021-06-25,44
"668","彰化縣",2021-06-25,264
"669","新北市",2021-06-25,6460
"670","新竹市",2021-06-25,38
"671","桃園市",2021-06-25,688
"672","苗栗縣",2021-06-25,543
"673","台北市",2021-06-26,4453
"674","台南市",2021-06-26,50
"675","基隆市",2021-06-26,303
"676","屏東縣",2021-06-26,45
"677","新北市",2021-06-26,6485
"678","新竹市",2021-06-26,39
"679","新竹縣",2021-06-26,100
"680","桃園市",2021-06-26,691
"681","台北市",2021-06-27,4472
"682","新北市",2021-06-27,6504
"683","新竹縣",2021-06-27,102
"684","桃園市",2021-06-27,696
"685","高雄市",2021-06-28,86
"686","台北市",2021-06-28,4498
"687","屏東縣",2021-06-28,46
"688","彰化縣",2021-06-28,265
"689","新北市",2021-06-28,6523
"690","桃園市",2021-06-28,697
"691","台中市",2021-06-29,199
"692","台北市",2021-06-29,4516
"693","新北市",2021-06-29,6539
"694","桃園市",2021-06-29,704
"695","苗栗縣",2021-06-29,545
"696","台北市",2021-06-30,4539
"697","基隆市",2021-06-30,304
"698","新北市",2021-06-30,6556
"699","新竹市",2021-06-30,41
"700","新竹縣",2021-06-30,107
"701","桃園市",2021-06-30,707
"702","台中市",2021-07-01,200
"703","台北市",2021-07-01,4578
"704","基隆市",2021-07-01,306
"705","新北市",2021-07-01,6576
"706","桃園市",2021-07-01,714
"707","台北市",2021-07-02,4600
